source,target,tag,nCount
1,1,1_1,0.9701433478633279
1,2,1_2,0.015654613901326542
1,3,1_3,0.011056748085420912
1,4,1_4,0.003842379060797661
1,5,1_5,0.0012104830340451073
1,6,1_6,0.0015252981263864148
2,1,2_1,0.033259635596818514
2,2,2_2,0.9132009603860902
2,3,2_3,0.013732360920405489
2,4,2_4,0.01309613833996019
2,5,2_5,0.004308953624979612
2,6,2_6,0.02531653065832009
3,1,3_1,0.02894044215361156
3,2,3_2,0.020333353139421525
3,3,3_3,0.9156542418244266
3,4,3_4,0.010420279735206968
3,5,3_5,0.024810153432288855
3,6,3_6,0.00454508759433878
4,1,4_1,0.016116379129702912
4,2,4_2,0.02206069937555416
4,3,4_3,0.01389521499385335
4,4,4_4,0.9156408488107747
4,5,4_5,0.01676894858509535
4,6,4_6,0.02084572649279473
5,1,5_1,0.007488074047768525
5,2,5_2,0.008238853949820572
5,3,5_3,0.03402741990566131
5,4,5_4,0.021434949618394747
5,5,5_5,0.9027991838165528
5,6,5_6,0.03798298365201759
6,1,6_1,0.006236597848918767
6,2,6_2,0.03228229004391019
6,3,6_3,0.0063246931805112944
6,4,6_4,0.026367793026972515
6,5,6_5,0.04213951614191532
6,6,6_6,0.897528811950687
