source,target,tag,data,term,estimate,statistic,p.value,p.perm,cor_p,stat,p,s
1,1,1_1,,PMA,-6.211693304669621e-4,NA,0.33316180579644705,0.3391,NA,    NA,,
1,2,1_2,,PMA,-3.7579412743723686e-4,NA,0.44684193873035283,0.4485,NA,    NA,,
1,4,1_4,,PMA,2.2435840639725617e-5,NA,0.9290033195880398,0.9318,NA,    NA,,
2,1,2_1,,PMA,0.0011514952501785998,NA,0.08957195998953953,0.0957,NA,    NA,,
2,2,2_2,,PMA,-0.0033806461963789085,-2.9246889268214207,0.003694984593605884,0.005,0.005,-2.925,0.005,-2.925
2,3,2_3,,PMA,4.419179316617722e-4,NA,0.191463474659564,0.1856,NA,    NA,,
2,4,2_4,,PMA,-2.1579352807286337e-5,NA,0.9525798046122437,0.9536,NA,    NA,,
2,5,2_5,,PMA,8.02732356331875e-5,NA,0.6028805618303463,0.6042,NA,    NA,,
2,6,2_6,,PMA,0.0017751615519824814,3.0706435566072448,0.0023196384632741085,0.0021,0.0021, 3.071,0.002, 3.071
3,1,3_1,,PMA,-6.909521063960638e-4,NA,0.31153454332437247,0.3163,NA,    NA,,
3,2,3_2,,PMA,-0.002265126008038948,NA,0.018142345147650736,0.0182,NA,    NA,,
3,3,3_3,,PMA,0.004663197141478577,3.224800709627096,0.0013911858115116234,0.0013,0.0013, 3.225,0.001, 3.225
3,4,3_4,,PMA,-8.977218170493543e-4,-2.7943289694979634,0.005543744534098093,0.0065,0.0065,-2.794,0.006,-2.794
3,5,3_5,,PMA,-0.0012735968163861177,NA,0.04351468734116355,0.0429,NA,    NA,,
4,1,4_1,,PMA,5.67003423665381e-4,NA,0.35152254742434785,0.3558,NA,    NA,,
4,2,4_2,,PMA,-0.0015079878202656717,NA,0.041716069961597074,0.0413,NA,    NA,,
4,3,4_3,,PMA,-6.923251400208056e-4,NA,0.11681130628210337,0.1216,NA,    NA,,
4,4,4_4,,PMA,8.780484397767828e-4,NA,0.5619790404888978,0.5551,NA,    NA,,
4,5,4_5,,PMA,7.663282167909745e-4,NA,0.0874421271621169,0.088,NA,    NA,,
4,6,4_6,,PMA,-2.9286844047211224e-4,NA,0.6545933569000582,0.6544,NA,    NA,,
5,2,5_2,,PMA,-2.8155361439481875e-4,NA,0.4995610823720179,0.5003,NA,    NA,,
5,3,5_3,,PMA,0.0014203719408858722,NA,0.06980813535932531,0.0704,NA,    NA,,
5,4,5_4,,PMA,-0.0016100049183126826,NA,0.02785846834025113,0.0257,NA,    NA,,
5,5,5_5,,PMA,0.0019072415039983394,NA,0.23883169287519448,0.2443,NA,    NA,,
5,6,5_6,,PMA,-0.002331280462727596,NA,0.014266144406849098,0.0131,NA,    NA,,
6,2,6_2,,PMA,-0.0012959632948768888,NA,0.0939970646689735,0.0945,NA,    NA,,
6,4,6_4,,PMA,-6.07913085719363e-4,NA,0.4060856311287342,0.3999,NA,    NA,,
6,5,6_5,,PMA,0.0015107564211345433,NA,0.05651020660253996,0.0576,NA,    NA,,
6,6,6_6,,PMA,0.00024155293590783798,NA,0.8656342714062045,0.8675,NA,    NA,,
1,3,1_3,,PMA,8.246461463984508e-4,3.2376225557540828,0.0013345702070155254,0.0016,0.0016, 3.238,0.002, 3.238
5,1,5_1,,PMA,-3.931677426375841e-4,NA,0.7197094253171382,0.7163,NA,    NA,,
3,6,3_6,,PMA,-1.7434145333928772e-4,NA,0.4478894288184452,0.4403,NA,    NA,,
6,3,6_3,,PMA,3.1079663603212785e-4,NA,0.36806705913368665,0.3657,NA,    NA,,
6,1,6_1,,PMA,-2.1498882134313236e-4,NA,0.7140919751542353,0.715,NA,    NA,,
1,5,1_5,,PMA,-1.450108566729566e-5,NA,0.8886399895413964,0.8873,NA,    NA,,
1,6,1_6,,PMA,1.1500063045222431e-4,NA,0.5830204999542419,0.5591,NA,    NA,,
