source,target,tag,data,term,estimate,statistic,p.value,p.perm,cor_p,stat,p,s
1,1,1_1,,Preterm-born,-0.008851855612876828,-4.39432151496369,1.438746818796825e-5,0,0,-4.394,<0.001,-4.394
1,2,1_2,,Preterm-born,0.00399758880849803,NA,0.010066979348392796,0.0099,NA,    NA,,
1,4,1_4,,Preterm-born,9.461887942096561e-4,NA,0.19533036142731314,0.1783,NA,    NA,,
2,1,2_1,,Preterm-born,-0.004733902190376244,NA,0.026003315269158795,0.0247,NA,    NA,,
2,2,2_2,,Preterm-born,0.007807140169084521,NA,0.02930821829327181,0.03,NA,    NA,,
2,3,2_3,,Preterm-born,5.099649550215901e-4,NA,0.6390729600906611,0.6375,NA,    NA,,
2,4,2_4,,Preterm-born,-8.21540391138086e-4,NA,0.45163740229110194,0.4486,NA,    NA,,
2,5,2_5,,Preterm-born,-1.4585246120225214e-4,NA,0.7683243773558911,0.7678,NA,    NA,,
2,6,2_6,,Preterm-born,-0.0029923250358998227,NA,0.08695519466810472,0.0846,NA,    NA,,
3,1,3_1,,Preterm-born,-0.0017094280852337214,NA,0.445313219285703,0.4458,NA,    NA,,
3,2,3_2,,Preterm-born,0.003100473991415688,NA,0.27274399310514214,0.2638,NA,    NA,,
3,3,3_3,,Preterm-born,-0.008375486540347699,NA,0.06614167953535612,0.0596,NA,    NA,,
3,4,3_4,,Preterm-born,0.003220691858382067,3.115398975429563,0.001988254446962114,0.0017,0.0017, 3.115,0.002, 3.115
3,5,3_5,,Preterm-born,0.0042560680326891275,NA,0.035134969928828565,0.0333,NA,    NA,,
4,1,4_1,,Preterm-born,-0.002615363678981307,NA,0.15850449533720598,0.1498,NA,    NA,,
4,2,4_2,,Preterm-born,0.0038128806103509038,NA,0.11214451389961963,0.1126,NA,    NA,,
4,3,4_3,,Preterm-born,-9.758816163212871e-4,NA,0.47996383790582653,0.4864,NA,    NA,,
4,4,4_4,,Preterm-born,-0.003927145107989237,NA,0.40337288494894563,0.4146,NA,    NA,,
4,5,4_5,,Preterm-born,0.0014666994283331753,NA,0.27689001980112815,0.2731,NA,    NA,,
4,6,4_6,,Preterm-born,0.0030758099039104024,NA,0.12805670278174364,0.1199,NA,    NA,,
5,2,5_2,,Preterm-born,0.0012152009942083116,NA,0.3433334595055919,0.3527,NA,    NA,,
5,3,5_3,,Preterm-born,-0.003496299675872445,NA,0.1329794956155372,0.1366,NA,    NA,,
5,4,5_4,,Preterm-born,2.0723250476778273e-4,NA,0.9235150306403179,0.9279,NA,    NA,,
5,5,5_5,,Preterm-born,-0.004677178755866864,NA,0.33950953883302826,0.3472,NA,    NA,,
5,6,5_6,,Preterm-born,0.004956869618406643,NA,0.09856272789027745,0.0968,NA,    NA,,
6,2,6_2,,Preterm-born,4.781276825541853e-4,NA,0.847753740872399,0.8493,NA,    NA,,
6,4,6_4,,Preterm-born,3.139681590515028e-4,NA,0.8876878463079694,0.885,NA,    NA,,
6,5,6_5,,Preterm-born,-2.811154074187838e-4,NA,0.9078320571660176,0.9049,NA,    NA,,
6,6,6_6,,Preterm-born,-0.0015866641393580492,NA,0.7235990841515325,0.7238,NA,    NA,,
1,3,1_3,,Preterm-born,0.003953587170514576,4.650998437136849,4.577998456305998e-6,0,0, 4.651,<0.001, 4.651
5,1,5_1,,Preterm-born,1.3109397829479957e-4,NA,0.9674385222864395,0.9685,NA,    NA,,
3,6,3_6,,Preterm-born,-5.28605648831993e-4,NA,0.35720470369245516,0.3629,NA,    NA,,
6,3,6_3,,Preterm-born,-7.263920253827203e-4,NA,0.42418978949318253,0.4323,NA,    NA,,
6,1,6_1,,Preterm-born,-0.0021307315028360877,NA,0.18309801194878164,0.176,NA,    NA,,
1,5,1_5,,Preterm-born,9.318547530527831e-4,NA,0.00513319032047084,0.008,NA,    NA,,
1,6,1_6,,Preterm-born,6.393710804720098e-4,NA,0.23333237234095838,0.241,NA,    NA,,
