cluster,term,filt.t,pp.cor,p.perm
1,Cog. Comp.,NA,0.55992,NA
2,Cog. Comp.,NA,0.51555,NA
3,Cog. Comp.,NA,0.51555,NA
4,Cog. Comp.,NA,0.8446,NA
5,Cog. Comp.,NA,0.51555,NA
6,Cog. Comp.,NA,0.51555,NA
1,Lang. Comp.,NA,0.41190000000000004,NA
2,Lang. Comp.,NA,0.5445599999999999,NA
3,Lang. Comp.,NA,0.63,NA
4,Lang. Comp.,NA,0.41190000000000004,NA
5,Lang. Comp.,NA,0.41190000000000004,NA
6,Lang. Comp.,NA,0.41190000000000004,NA
1,Mot. Comp.,NA,0.6425,NA
2,Mot. Comp.,NA,0.4296,NA
3,Mot. Comp.,NA,0.4296,NA
4,Mot. Comp.,NA,0.6425,NA
5,Mot. Comp.,NA,0.6425,NA
6,Mot. Comp.,NA,0.6425,NA
1,Q-CHAT,-2.672367507895135,0.0426,0.0088
2,Q-CHAT,NA,0.8238,0.8238
3,Q-CHAT,NA,0.21503999999999998,0.1792
4,Q-CHAT,NA,0.1156,0.0578
5,Q-CHAT,2.5067273185065493,0.0426,0.0142
6,Q-CHAT,NA,0.12915,0.0861
