cluster,term,filt.t,pp.cor,p.perm
1,Cog. Comp.*,NA,0.5967,0.5967
2,Cog. Comp.*,NA,0.5967,0.4642
3,Cog. Comp.*,NA,0.0954,0.0477
4,Cog. Comp.*,NA,0.0672,0.0224
5,Cog. Comp.*,-3.1922180130114897,0.009600000000000001,0.0016
6,Cog. Comp.*,NA,0.5967,0.5344
1,Lang. Comp.**,NA,0.9807,NA
2,Lang. Comp.**,NA,0.9662999999999999,NA
3,Lang. Comp.**,NA,0.9662999999999999,NA
4,Lang. Comp.**,NA,0.9807,NA
5,Lang. Comp.**,NA,0.9662999999999999,NA
6,Lang. Comp.**,NA,0.5196,NA
1,Mot. Comp.***,NA,0.4512,0.2256
2,Mot. Comp.***,NA,0.7461,0.7461
3,Mot. Comp.***,NA,0.2892,0.0964
4,Mot. Comp.***,NA,0.7461,0.71
5,Mot. Comp.***,-3.415542011974071,0.009000000000000001,0.0015
6,Mot. Comp.***,NA,0.7461,0.7325
1,Q-CHAT****,NA,0.12329999999999999,NA
2,Q-CHAT****,NA,0.8226,NA
3,Q-CHAT****,NA,0.91692,NA
4,Q-CHAT****,NA,0.9731,NA
5,Q-CHAT****,NA,0.8226,NA
6,Q-CHAT****,-2.656676718324147,0.046799999999999994,NA
